0;1;2;3;4;5;6;7;8;9;10
;;ISIN;;;;Libelle;;;Montant (MDT);
;TN0008000747;;BTA 7,2% Mai 2027;1,04;;;;;;
;TN0008000747;;BTA 7,2% Mai 2027;5,06;;;;;;
;TNBII1MJCEF3;;EMP NAT 2023 T4 CB TF;3,02;;;;;;
;TNBII1MJCEF3;;EMP NAT 2023 T4 CB TF;9,07;;;;;;
;TNBII1MJCEF3;;EMP NAT 2023 T4 CB TF;1,01;;;;;;
;TNBII1MJCEF3;;EMP NAT 2023 T4 CB TF;0,81;;;;;;
;TNFC8O7A98F4;;EMP NAT 2024 T3 CB TF;7,03;;;;;;
;TNFC8O7A98F4;;EMP NAT 2024 T3 CB TF;3,51;;;;;;
;TNFC8O7A98F4;;EMP NAT 2024 T3 CB TF;11,53;;;;;;
;TNFC8O7A98F4;;EMP NAT 2024 T3 CB TF;1,50;;;;;;
;TNFC8O7A98F4;;EMP NAT 2024 T3 CB TF;0,50;;;;;;
;TNFC8O7A98F4;;EMP NAT 2024 T3 CB TF;0,29;;;;;;
;TNI5BPOGW9F1;;BTA 9,89% 13 Juin 2033;5,65;;;;;;
;TNN50G7PX8W5;;EMP NAT 2023 T2 CB TV;2,51;;;;;;
;TNN50G7PX8W5;;EMP NAT 2023 T2 CB TV;0,75;;;;;;
;TNN50G7PX8W5;;EMP NAT 2023 T2 CB TV;5,01;;;;;;
