0;1;2;3;4;5;6;7;8;9;10
;;ISIN;;;;Libelle;;;Montant (MDT);
;TN0008000606;;BTA 6,7% Avril 2028;0,40;;;;;;
;TN0008000606;;BTA 6,7% Avril 2028;0,40;;;;;;
;TN0008000705;;BTA 6,5% Juin 2025;4,02;;;;;;
;TN0008000747;;BTA 7,2% Mai 2027;1,00;;;;;;
;TN0008000747;;BTA 7,2% Mai 2027;6,03;;;;;;
;TN0008000747;;BTA 7,2% Mai 2027;2,01;;;;;;
;TN0008000747;;BTA 7,2% Mai 2027;1,00;;;;;;
;TN9092FJVKK8;;EMP NAT 2024 T4 CB TF;10,06;;;;;;
;TNBII1MJCEF3;;EMP NAT 2023 T4 CB TF;2,01;;;;;;
;TNBII1MJCEF3;;EMP NAT 2023 T4 CB TF;0,50;;;;;;
;TNBII1MJCEF3;;EMP NAT 2023 T4 CB TF;1,71;;;;;;
;TNBII1MJCEF3;;EMP NAT 2023 T4 CB TF;1,50;;;;;;
;TNBII1MJCEF3;;EMP NAT 2023 T4 CB TF;2,51;;;;;;
;TNBII1MJCEF3;;EMP NAT 2023 T4 CB TF;0,80;;;;;;
;TNBII1MJCEF3;;EMP NAT 2023 T4 CB TF;10,02;;;;;;
;TNFC8O7A98F4;;EMP NAT 2024 T3 CB TF;1,00;;;;;;
;TNFC8O7A98F4;;EMP NAT 2024 T3 CB TF;1,00;;;;;;
;TNFC8O7A98F4;;EMP NAT 2024 T3 CB TF;0,40;;;;;;
;TNFC8O7A98F4;;EMP NAT 2024 T3 CB TF;7,53;;;;;;
;TNFC8O7A98F4;;EMP NAT 2024 T3 CB TF;1,81;;;;;;
