0;1;2;3;4;5;6;7;8;9;10;11;12
;;ISIN;;;;Libelle;;;;Montant (MDT);;
;TN0008000655;;BTA 6,6% Mars 2027;;3,59;;;;;;;
;TN0008000655;;BTA 6,6% Mars 2027;;3,52;;;;;;;
;;;;;;;;;;;;
;TN0008000655;;BTA 6,6% Mars 2027;;3,52;;;;;;;
;TN0008000655;;BTA 6,6% Mars 2027;;3,59;;;;;;;
;TN0008000655;;BTA 6,6% Mars 2027;;3,59;;;;;;;
;TN0008000705;;BTA 6,5% Juin 2025;;1,46;;;;;;;
;;;;;;;;;;;;
;TN0008000739;;BTA 7,4% Fevrier 2030;;0,50;;;;;;;
;;;;;;;;;;;;
;TN0008000812;;BTA 7,5% 13/12/2028;;7,51;;;;;;;
;TN0008000812;;BTA 7,5% 13/12/2028;;2,00;;;;;;;
;TN0008000812;;BTA 7,5% 13/12/2028;;7,03;;;;;;;
;TN9092FJVKK8;;EMP NAT 2024 T4 CB TF;;13,05;;;;;;;
;;;;;;;;;;;;
;TNBII1MJCEF3;;EMP NAT 2023 T4 CB TF;;1,00;;;;;;;
;;;;;;;;;;;;
;TNBII1MJCEF3;;EMP NAT 2023 T4 CB TF;;0,30;;;;;;;
;TNCR2TMAK1K8;;EMP NAT 2023 T2 CB TF;;2,50;;;;;;;
;;;;;;;;;;;;
;TNUWXR58DVH5;;EMP NAT 2024 T1 CB TF;;10,04;;;;;;;
;;;;;;;;;;;;
