0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23
;7;;;BCI;;;29/04/2025;;;1,250 DT;;;;;;07/05/2025;;;08/05/2025;;;09/05/2025;
;8;;;IAT;;;25/04/2025;;;6,000 DT;;;;;;12/05/2025;;;13/05/2025;;;14/05/2025;
;9;;;H BANK;;;26/04/2025;;;0,400 DT*;;;12/05/2025;;;13/05/2025;;;14/05/2025;;;;
10;;lacement Tunisie;;08/05/2025;3,000 DT;;14/05/2025;15/05/2025;16/05/2025;;;;;;;;;;;;;;
;;;;;;08/05/2025;3,000 DT;;14/05/2025;15/05/2025;16/05/2025;;;;;;;;;;;;
;10;ICAF;;;;;;;;;;;;;;;;;;;;;
;11;;;TAR;;;22/04/2025;;;8,397 DT;;;;;;15/05/2025;;;16/05/2025;;;19/05/2025;
;12;;;UNIS RE;;;25/04/2025;;;0,480 DT;;;;;;16/05/2025;;;19/05/2025;;;20/05/2025;
;13;;;men Bank;;;24/04/2025;;;3,300 DT;;;;;;20/05/2025;;;21/05/2025;;;22/05/2025;
14;;UNISIE LEASING ET;;28/04/2025;1,150 DT;;20/05/2025;21/05/2025;22/05/2025;;;;;;;;;;;;;;
;;;;;;28/04/2025;1,150 DT;;20/05/2025;21/05/2025;22/05/2025;;;;;;;;;;;;
;14;ACTORING;;;;;;;;;;;;;;;;;;;;;
;15;;;ANNIBAL LEASE;;;30/04/2025;;;0,450 DT;;;;;;28/05/2025;;;29/05/2025;;;30/05/2025;
;16;;;FBT;;;07/05/2025;;;0,800 DT;;;;;;30/05/2025;;;02/06/2025;;;03/06/2025;
;17;;;IB;;;30/04/2025;;;0,850 DT;;;;;;02/06/2025;;;03/06/2025;;;04/06/2025;
;18;;;IB (CI);;;30/04/2025;;;0,850 DT;;;;;;02/06/2025;;;03/06/2025;;;04/06/2025;
;19;;;NNAKL;;;25/04/2025;;;0,880 DT;;;;;;03/06/2025;;;04/06/2025;;;05/06/2025;
;20;;;RTES;;;30/05/2025;;;0,800 DT;;;;;;10/06/2025;;;11/06/2025;;;12/06/2025;
;21;;;NE TECH HOLDIN;;;23/05/2025;;;0,260 DT;;;;;;13/06/2025;;;16/06/2025;;;17/06/2025;
;22;;;NA;;;30/04/2025;;;1,000 DT;;;;;;17/06/2025;;;18/06/2025;;;19/06/2025;
;23;;;MART TUNISIE;;;25/04/2025;;;0,360 DT;;;0,540 DT;;;19/06/2025;;;20/06/2025;;;23/06/2025;
;24;;;OTUMAG;;;04/06/2025;;;0,480 DT;;;;;;20/06/2025;;;23/06/2025;;;24/06/2025;
;25;;;TL;;;23/04/2025;;;0,330 DT;;;0,020 DT;;;20/06/2025;;;23/06/2025;;;24/06/2025;
;26;;;EST LEASE;;;26/04/2025;;;0,150 DT;;;;;;23/06/2025;;;24/06/2025;;;25/06/2025;
;27;;SAH (Lilas);;12/06/2025;;;0,400 DT;;;;;;23/06/2025;;;24/06/2025;;;25/06/2025;;;
;;AH (Lilas);;;;;;;;;;;;;;;;;;;;;
28;;OCIETE;;29/05/2025;2,040 DT;;25/06/2025;27/06/2025;30/06/2025;;;;;;;;;;;;;;
;;UNISIENNE;29/05/2025;2,040 DT;;25/06/2025;27/06/2025;30/06/2025;;;;;;;;;;;;;;;
28;'AUTOMOBILES;;;;;;;;;;;;;;;;;;;;;;
;;STA);;;;;;;;;;;;;;;;;;;;;
29;;STREE;;23/06/2025;2,500 DT;;01/07/2025;02/07/2025;03/07/2025;;;;;;;;;;;;;;
23/06/2025;2,500 DT;;01/07/2025;02/07/2025;03/07/2025;;;;;;;;;;;;;;;;;;
29;SSURANCE;;;;;;;;;;;;;;;;;;;;;;
