0;1;2;3;4;5;6;7;8;9;10
;;ISIN;;;;Libelle;;;Montant (MDT);
;TN0008000580;;BTA 6,3% Octobre 2026;0,30;;;;;;
;TN0008000606;;BTA 6,7% Avril 2028;5,56;;;;;;
;TN0008000622;;BTA 6,3% Mars 2026;3,03;;;;;;
;TN0008000622;;BTA 6,3% Mars 2026;1,01;;;;;;
;TN0008000747;;BTA 7,2% Mai 2027;2,02;;;;;;
;TN0008000812;;BTA 7,5% 13/12/2028;0,45;;;;;;
;TN2781ZB9E10;;EMP NAT 2024 T1 CB TV;1,50;;;;;;
;TN9092FJVKK8;;EMP NAT 2024 T4 CB TF;5,01;;;;;;
;TN9092FJVKK8;;EMP NAT 2024 T4 CB TF;1,50;;;;;;
;TN9092FJVKK8;;EMP NAT 2024 T4 CB TF;0,50;;;;;;
;TN9092FJVKK8;;EMP NAT 2024 T4 CB TF;5,04;;;;;;
;TNBII1MJCEF3;;EMP NAT 2023 T4 CB TF;3,01;;;;;;
;TNBII1MJCEF3;;EMP NAT 2023 T4 CB TF;0,20;;;;;;
;TNBII1MJCEF3;;EMP NAT 2023 T4 CB TF;1,00;;;;;;
;TNFC8O7A98F4;;EMP NAT 2024 T3 CB TF;1,01;;;;;;
;TNFC8O7A98F4;;EMP NAT 2024 T3 CB TF;0,50;;;;;;
;TNFC8O7A98F4;;EMP NAT 2024 T3 CB TF;1,51;;;;;;
;TNFC8O7A98F4;;EMP NAT 2024 T3 CB TF;11,56;;;;;;
;TNN50G7PX8W5;;EMP NAT 2023 T2 CB TV;5,02;;;;;;
;TNNR35P1MXQ0;;BTC 52 semaines 02052025;60,09;;;;;;
;TNXJGTXAROH4;;BTA 9,90% 26 décembre 2034;1,01;;;;;;
