0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26
;-;;;Autres Lignes Remboursées;;;57;;;0;;;2 046 473;;;0;;;617 837,341;;;0,000;;;;
TN32EDJTCHU3;BTC 52 semaines 22012025;10;0;500 000;0;0,000;0,000;;;;;;;;;;;;;;;;;;;
TN3E0X2QE0C0;BTC 52 semaines 20052025;2;0;21 900;0;20 088,983;0,000;;;;;;;;;;;;;;;;;;;
TN4U3RLDLBZ6;BTC 52 semaines 28032025;10;0;900 000;0;0,000;0,000;;;;;;;;;;;;;;;;;;;
TN6JRW6OPFB4;BTCT 26 semaines 18022025;1;0;60 000;0;57 512,121;0,000;;;;;;;;;;;;;;;;;;;
TN7BOC7ZJM02;BTC 52 semaines 08012025;9;0;702 000;0;0,000;0,000;;;;;;;;;;;;;;;;;;;
TNADTLG5CSA1;BTCT 26 semaines 21012025;1;0;90 000;0;86 268,182;0,000;;;;;;;;;;;;;;;;;;;
TNC7KC6XPCM5;BTCT 26 semaines 08042025;1;0;55 000;0;52 719,444;0,000;;;;;;;;;;;;;;;;;;;
TNFITSFDMPP0;BTCT 26 semaines 11042025;1;2;80 000;7 000;76 718,371;6 950,322;;;;;;;;;;;;;;;;;;;
TNHOS86FY952;BTCT 13 semaines 28052025;0;0;0;0;0,000;0,000;;;;;;;;;;;;;;;;;;;
TNHX4EUHLOV7;BTCT 26 semaines 28052025;0;0;0;0;0,000;0,000;;;;;;;;;;;;;;;;;;;
TNN64EKL4XE5;BTC 52 semaines 26022025;8;3;68 098;10 400;65 548,771;10 376,208;;;;;;;;;;;;;;;;;;;
TNNR35P1MXQ0;BTC 52 semaines 02052025;0;0;0;0;0,000;0,000;;;;;;;;;;;;;;;;;;;
TNOI6DZE1IQ0;BTC 52 semaines 18032025;5;0;175 500;0;160 876,504;0,000;;;;;;;;;;;;;;;;;;;
TNSHC62Q6CC7;BTCT 13 semaines 13022025;1;0;26 000;0;25 284,559;0,000;;;;;;;;;;;;;;;;;;;
TNUEJGZNL629;BTC 52 semaines 11022025;2;0;54 600;0;50 050,468;0,000;;;;;;;;;;;;;;;;;;;
TNWENZQ23182;BTC 52 semaines 29012025;1;0;35 000;0;32 083,633;0,000;;;;;;;;;;;;;;;;;;;
TNXBWNLLU623;BTCT 26 semaines 06062025;2;3;138 100;15 000;132 404,783;14 916,357;;;;;;;;;;;;;;;;;;;
TNYI64DBCMP4;BTC 52 semaines 11042025;0;0;0;0;0,000;0,000;;;;;;;;;;;;;;;;;;;
