0;1;2;3;4;5
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;4 913;0,500;20;8,990
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;9 826;1,000;20;8,990
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;44 214;4,500;20;8,990
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;3 931;0,400;20;8,990
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;14 738;1,500;24;8,990
TN0008000622;BTA 6,3% Mars 2026;1 416;1,500;6;8,990
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;4 913;0,500;10;8,990
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;9 826;1,000;90;9,840
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;3 439;0,350;90;8,990
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;49 126;5,000;31;8,990
TNXJGTXAROH4;BTA 9,90% 26 décembre 2034;2 262;2,301;31;8,250
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;18 668;1,900;6;8,990
TN0008000812;BTA 7,5% 13/12/2028;5 219;5,400;31;8,250
TN0008000812;BTA 7,5% 13/12/2028;435;0,450;10;7,990
TN0008000606;BTA 6,7% Avril 2028;2 150;2,099;31;7,990
TN0008000606;BTA 6,7% Avril 2028;153;0,149;31;8,740
TN0008000606;BTA 6,7% Avril 2028;133;0,130;31;8,740
TNXJGTXAROH4;BTA 9,90% 26 décembre 2034;4 915;4,999;60;9,120
