0;1;2;3;4;5;6;7;8;9;10
;;ISIN;;;;Libelle;;;Montant (MDT);
;TN0008000655;;BTA 6,6% Mars 2027;1,00;;;;;;
;TN9092FJVKK8;;EMP NAT 2024 T4 CB TF;5,01;;;;;;
;TN9092FJVKK8;;EMP NAT 2024 T4 CB TF;2,11;;;;;;
;TN9092FJVKK8;;EMP NAT 2024 T4 CB TF;0,40;;;;;;
;TN9092FJVKK8;;EMP NAT 2024 T4 CB TF;5,01;;;;;;
;TN9092FJVKK8;;EMP NAT 2024 T4 CB TF;3,51;;;;;;
;TNBII1MJCEF3;;EMP NAT 2023 T4 CB TF;7,53;;;;;;
;TNBII1MJCEF3;;EMP NAT 2023 T4 CB TF;1,71;;;;;;
;TNBII1MJCEF3;;EMP NAT 2023 T4 CB TF;1,00;;;;;;
;TNN50G7PX8W5;;EMP NAT 2023 T2 CB TV;0,97;;;;;;
;TNPDPODY2398;;EMP NAT 2024 T3 CC TF;7,62;;;;;;
