0;1;2;3;4;5;6;7;8;9;10
;;ISIN;;;;Libelle;;;Montant (MDT);
;TN0008000705;;BTA 6,5% Juin 2025;1,52;;;;;;
;TN0008000721;;BTA 7,2% Fevrier 2027;3,51;;;;;;
;TN0008000721;;BTA 7,2% Fevrier 2027;6,02;;;;;;
;TN0008000739;;BTA 7,4% Fevrier 2030;1,00;;;;;;
;TN0008000739;;BTA 7,4% Fevrier 2030;2,01;;;;;;
;TN0008000739;;BTA 7,4% Fevrier 2030;2,01;;;;;;
;TN0008000739;;BTA 7,4% Fevrier 2030;6,69;;;;;;
;TN0008000762;;BTA 8% Novembre 2030;1,63;;;;;;
;TN0008000762;;BTA 8% Novembre 2030;2,54;;;;;;
;TN0008000762;;BTA 8% Novembre 2030;0,70;;;;;;
;TN0JN6PVVH38;;EMP NAT 2022 T3 CB TV;0,44;;;;;;
;TN3C6DVEWM76;;EMP NAT 2023 T1 CB TV;11,02;;;;;;
;TN9092FJVKK8;;EMP NAT 2024 T4 CB TF;9,05;;;;;;
;TNBII1MJCEF3;;EMP NAT 2023 T4 CB TF;0,70;;;;;;
;TNFC8O7A98F4;;EMP NAT 2024 T3 CB TF;0,25;;;;;;
;TNLRQIP0OJY4;;BTA 9% septembre 2029;1,02;;;;;;
;TNX0K9990B08;;EMP NAT 2024 T2 CB TF;1,86;;;;;;
;TNX0K9990B08;;EMP NAT 2024 T2 CB TF;3,02;;;;;;
;TNX0K9990B08;;EMP NAT 2024 T2 CB TF;5,20;;;;;;
